Item,Purpose,Price,Source
Mini BreadBoard,multiple GND and 3v3,$2.16,https://aliexpress.us
Rubber Pads,Prevent slipping,$2.33,https://aliexpress.us
ESP 32 USB-C,Powerhouse,$6.65,https://aliexpress.us
Passive Buzzer,To alert when timer starts/stops,$3.75,https://aliexpress.us
KY-040 Rotary Encoder,To change the timer and for control,$1.89,https://aliexpress.us
WeAct 3.7 Inch Epaper Module E-paper,Display,$11.20,https://aliexpress.us
Jumper Wires,connecting,$0.99,https://aliexpress.us
3d printed case,case,$0,Printing Legion(Hack Club)
Subtotal,,$28.97,Aliexpress: $28.97
Total (tax + shipping),,$34.72,
